Title,Manufacturer,Price,Link,Category,Image,Store
"MB AM5 B650M S2H GIGABYTE 2xDDR5 6400Mhz (O.C), VGA, DP, HDMI, PCI-Ex16 4.0, PCI-Ex1 3.0, M.2 4.0, 4xSATA3", ,6.925 ден.,https://ddstore.mk/mb-am5-b650m-s2h-gigabyte-2xddr5-6400mhz-o-c-vga-dp-hdmi-pci-ex16-4-0-pci-ex1-3-0-m-2-4-0-4xsata3-1001714.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001714-product_11241_0.png,DDStore
"MB AM4 B550M-HDV ASROCK 2xDDR4 4733Mhz(O.C), 1xPCIex16 4.0,1xPCIex16 3.0, 1xPCIex1, HDMI,DVI-D,D-Sub,4xSATAIII, 1xM.2, 6xUSB 3.1 Gen1", ,5.620 ден.,https://ddstore.mk/mb-am4-b550m-hdv-asrock-2xddr4-4733mhz-o-c-1xpciex16-4-0-1xpciex16.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001868-product_4690_0.png,DDStore
"MB 1700 B760 DS3H AX GIGABYTE, 4xDDR5 7600MHz(OC), 2xM.2, HDMI, DP, PCIex16, 4xPCIex1, 4xSATAIII, USB3.2Gen1, 1xType-C, Wi-Fi 6E, BT 5.3", ,9.980 ден.,https://ddstore.mk/mb-1700-b760-ds3h-ax-gigabyte-4xddr5-7600mhz-oc-2xm-2-hdmi-dp-pciex16-4xpciex1-4xsataiii-usb3-2gen1-1xtype-c-wi-fi-6e-bt-5-3.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001947_81_w.png,DDStore
"GigaByte H610M H DDR5 13th and 12th Gen i9/i7/i5/i3/Pen/Cele, LGA1700", ,5.300 ден.,https://ddstore.mk/gigabyte-mb-13th-and-12th-gen-i9-i7-i5-i3-pen-cele-h610m-h-ddr5-lga1700-2-x-ddr5-dimm-1-x-pci-express-x16-1-x-pci-express-x1-1-x-d-sub-port-1-x-hdmi-port-1002368.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1002368_66_w.jpg,DDStore
"MB MSI MAG Z790 TOMAHAWK WIFI 6E DDR5 LGA1700 7200MHz OC SATA3 4xM.2,USB 3.2/Type-C 2.5GBit DP/HDMI",MSI,15.779 ден.,https://ddstore.mk/mb-msi-mag-z790-tomahawk-wifi-6e-ddr5-lga1700-7200mhz-oc-sata3-4xm-2-usb-3-2-type-c-2-5gbit-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1002454_96_w.jpg,DDStore
"ASUS PRIME B550M-A/CSM, MD B550 (Ryzen AM4) micro ATX motherboard with dual M.2",ASUS,5.698 ден.,https://ddstore.mk/asus-prime-b550m-a-csm-md-b550-ryzen-am4-micro-atx-motherboard-with-dual-m-2-pcie-4-0-1-gb-ethernet-hdmi-d-sub-dvi-sata-6-gbps.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1002748.jpg,DDStore
MB Asus PRIME A520M-K, ,3.683 ден.,https://ddstore.mk/mb-asus-prime-a520m-k.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1003664.jpg,DDStore
MB Asus ROG STRIX B550-F GAMING, ,12.051 ден.,https://ddstore.mk/mb-asus-rog-strix-b550-f-gaming.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1003663_58_w.jpg,DDStore
MB Asus ROG STRIX Z790-F GAMING WIFI, , ,https://ddstore.mk/mb-asus-rog-strix-z790-f-gaming-wifi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1003672_56_w.jpg,DDStore
MB Asus ROG STRIX B650E-F GAMING WIFI, , ,https://ddstore.mk/mb-asus-rog-strix-b650e-f-gaming-wifi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1003675_82_w.jpg,DDStore
